# Fitnes,soma 0 H_CA1pyr_prox gmax_H_CA1pyr_prox,soma 0 CaN gmax_CaN,soma 0 CaL gmax_CaL,soma 0 K_AHP gmax_K_AHP,soma 0 K_C_1D gmax_K_C_1D,soma 0 K_M gmax_K_M,soma 0 K_A_prox gmax_K_A_prox,soma 0 K_DR gmax_K_DR,soma 0 Na_soma gmax_Na_soma
4.293714009619999800e-03,6.592553539069999705e-03,8.284006247569999926e-02,1.509001102449999965e-02,9.999999999999999547e-07,1.663330321310000064e-03,9.997338608519999725e-04,1.210464901509999969e-03,3.571487807289999965e-03,3.867359369469999808e-02
4.920090186230000398e-03,2.800618530489999963e-03,8.811691812539999835e-02,1.418131893660000073e-02,1.631857368250000011e-06,4.397521659420000097e-04,1.539222938139999958e-03,1.964954047019999966e-03,3.470596972100000160e-03,3.969738158930000149e-02
2.384957596429999882e-02,3.831896607359999967e-03,8.523190556080000122e-04,2.832030860190000096e-02,5.384907182129999974e-06,4.246281579519999884e-03,1.251721705570000079e-02,1.416427291719999986e-03,8.918758801430000382e-02,3.865155207979999868e-02
4.314408917829999981e-03,5.257243375340000385e-03,5.656698135789999665e-02,2.313794777029999986e-02,1.091667549790000085e-06,4.420849243750000243e-04,1.020748425719999975e-03,1.996094320850000121e-03,6.326124148719999840e-02,3.443140348450000193e-02
1.113677161380000058e-02,6.253778021069999679e-03,4.842190468330000164e-02,2.237283399679999840e-02,9.999999999999999547e-07,1.792310946140000035e-04,6.693228048460000404e-04,8.308408751600000752e-03,4.314608936989999810e-02,3.115986259720000123e-02
1.811172380210000071e-02,1.695033165959999952e-03,2.287067606409999912e-02,1.487565415670000050e-02,6.213218359469999726e-05,3.580243299999999983e-03,1.000000000000000048e-04,1.000000000000000021e-03,1.191872137209999943e-03,3.254755575059999767e-02
6.226156843049999653e-03,9.042267397749999269e-03,2.001562381699999865e-02,1.308181424890000021e-02,1.020850425189999964e-06,2.587765976110000237e-04,3.907885202350000302e-03,1.012197969790000094e-03,1.610222414950000054e-03,3.896219283130000072e-02
4.065635011640000157e-02,3.398255550809999807e-03,1.352341697520000052e-02,1.746348384680000091e-03,2.332900709040000055e-03,1.220497423569999983e-02,1.000000000000000048e-04,1.064826269169999928e-03,8.040064899990000472e-03,3.320569625599999880e-02
1.556913875089999989e-02,4.497225991750000360e-03,7.233493714389999975e-03,1.430958227629999975e-02,9.999999999999999547e-07,2.219667255939999917e-03,7.106978082380000297e-03,1.082152939740000080e-03,1.584077084640000011e-03,3.412538115560000140e-02
8.785859975710000672e-03,5.497115978759999598e-03,7.552110458560000461e-02,1.248458254790000069e-02,1.246941816569999960e-06,1.000000000000000048e-04,5.370452734790000064e-03,1.000561883740000088e-03,3.530207979889999920e-03,4.214709372170000190e-02
