# Fitnes,soma 0 H_CA1pyr_prox gmax_H_CA1pyr_prox,soma 0 CaN gmax_CaN,soma 0 CaL gmax_CaL,soma 0 K_AHP gmax_K_AHP,soma 0 K_C_1D gmax_K_C_1D,soma 0 K_M gmax_K_M,soma 0 K_A_prox gmax_K_A_prox,soma 0 K_DR gmax_K_DR,soma 0 Na_soma gmax_Na_soma
1.175205164280000106e-03,1.000000000000000048e-04,3.920882190470000028e-02,1.802964797309999923e-02,1.148616084690000034e-06,1.505241786139999984e-04,1.000000000000000048e-04,1.000000000000000021e-03,2.434319286769999827e-02,3.290797732120000207e-02
1.073892712330000009e-03,1.000000000000000048e-04,1.000000000000000048e-04,1.900840850570000018e-02,9.999999999999999547e-07,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000021e-03,3.231450501449999874e-02,3.260653551880000195e-02
4.268648915210000033e-02,1.000000000000000048e-04,4.804917855050000117e-03,1.000000000000000048e-04,9.999999999999999547e-07,1.000000000000000056e-01,2.817798768739999959e-02,1.000000000000000021e-03,1.192233362220000096e-03,3.255106020739999967e-02
1.197882907650000021e-03,1.165134212670000034e-04,5.807944822199999704e-03,2.018537499070000019e-02,9.999999999999999547e-07,1.033723272689999985e-04,1.000000000000000048e-04,1.000000000000000021e-03,4.831325128820000009e-02,3.145065461290000308e-02
1.172729599670000030e-03,1.000000000000000021e-02,2.277393173029999829e-02,1.839424314549999856e-02,9.999999999999999547e-07,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000021e-03,2.913117111789999963e-02,3.340287126130000311e-02
4.286252476369999814e-02,9.541173045200000008e-03,1.000000000000000048e-04,1.000000000000000048e-04,5.294771975339999937e-04,7.016964363010000372e-02,3.139165946530000223e-02,1.000000000000000021e-03,1.000000000000000021e-03,3.328303316729999684e-02
1.171684177070000032e-03,1.000000000000000021e-02,1.349210829359999940e-02,1.878604477269999948e-02,9.999999999999999547e-07,1.000000000000000048e-04,1.000000000000000048e-04,1.000000000000000021e-03,3.034851097390000099e-02,3.279170781650000283e-02
4.287213546620000093e-02,1.000000000000000048e-04,9.969835188829999362e-02,5.852084648129999775e-04,9.999999999999999547e-07,1.000000000000000056e-01,3.048915768399999837e-02,1.000000000000000021e-03,1.000000000000000021e-03,3.245898998410000347e-02
1.962371342410000174e-03,7.172032079460000271e-03,1.000000000000000048e-04,1.649981058750000021e-02,9.999999999999999547e-07,1.818057064189999980e-03,1.317151531939999881e-04,1.000000000000000021e-03,1.000000000000000021e-03,3.353522628310000309e-02
1.216750980120000084e-03,1.286980954139999933e-03,3.694368725750000332e-02,1.871249919870000139e-02,9.999999999999999547e-07,1.093973379509999988e-04,1.334806549430000099e-04,1.000000000000000021e-03,3.174606817730000335e-02,3.375603799670000293e-02
