array('d', [0.9451060189409056, 0.06716137673254824, 0.00026485460197882087]) ; (0.1119159367357795, 0.013940814617899611, 0.3372093023255814, 0.2028985507246377, 0.7538811529711757, 0.04031862404359868, 0.22698043579455407, 0.00018868683181931742, 1.5468238498404345, 0.02615099534370578)
array('d', [0.14940608406957928, 0.1839075567625217, 0.00012326883999180078]) ; (0.0258136633278197, 0.012911920717863979, 0.9, 0.8965517241379309, 1.0, 8.999550016874438e-08, 4.8642621182394945e-06, 6.123699630575129e-05, 0.07986767485822305, 0.003849273923439757)
array('d', [0.6718919180064971, 0.08485428861024688, 0.0007688161234638784]) ; (0.0645374430211973, 0.010850047997401198, 0.09523809523809523, 0.1129032258064516, 0.18687032824179395, 1.0505724707198563e-06, 0.21189245088948397, 0.0003012099454971584, 0.7813602505153595, 0.015910239714490397)
array('d', [0.3060873155794109, 0.04055003460373368, 0.00028401585784377517]) ; (0.06238821862816931, 0.009329342070646363, 0.13636363636363635, 0.15384615384615385, 0.25491862703432416, 6.805909700261293e-07, 0.17110860421488197, 0.0001288777299781962, 0.5177317435435053, 0.013990773543177607)
array('d', [0.6018619861114904, 0.08983990116067166, 0.0005832126593254929]) ; (0.06208832007714958, 0.011603394462170404, 0.08064516129032258, 0.09836065573770493, 0.16459588510287243, 8.555822203542434e-07, 0.20076570344675151, 0.00030396168446411673, 0.6031009506564057, 0.015321713030229736)
array('d', [0.8067059926104881, 0.17816569224297577, 0.00016302480956368175]) ; (0.054672875291340454, 0.013017186573073913, 0.0, 0.017857142857142856, 0.010774730631734208, 7.224638763546423e-07, 0.1913235401286899, 0.00038248577541663407, 0.3618592609497585, 0.014553387218992225)
array('d', [0.4815553349951519, 0.35588390829554034, 0.00025666060014759696]) ; (0.027577397322902087, 0.014392832921312932, 0.9, 0.8965517241379309, 1.0, 3.062346880741996e-08, 0.02711848447430322, 0.0001108510876584954, 0.004253308128544423, 0.0038794566779347373)
array('d', [0.9547639370466925, 0.15539684868895395, 0.0008355504012097195]) ; (0.06052785185981919, 0.012832148946455917, 0.05, 0.06779661016949153, 0.10142246443838904, 9.999500018749376e-07, 0.21404238888561758, 0.00037954735386050534, 0.6258431884589336, 0.01632152732886478)
array('d', [0.8816860310569508, 0.44015680128196, 0.0007832529618145562]) ; (0.02808050509386836, 0.014474831398093004, 0.9, 0.8965517241379309, 1.0, 2.499875004687344e-07, 0.04561923918650309, 0.0001229914875847775, 0.011814744801512287, 0.004134164251230606)
array('d', [0.6718919180064971, 0.08485428861024688, 0.0007688161234638784]) ; (0.0645374430211973, 0.010850047997401198, 0.09523809523809523, 0.1129032258064516, 0.18687032824179395, 1.0505724707198563e-06, 0.21189245088948397, 0.0003012099454971584, 0.7813602505153595, 0.015910239714490397)
array('d', [0.8067059926104881, 0.17816569224297577, 0.00016302480956368175]) ; (0.054672875291340454, 0.013017186573073913, 0.0, 0.017857142857142856, 0.010774730631734208, 7.224638763546423e-07, 0.1913235401286899, 0.00038248577541663407, 0.3618592609497585, 0.014553387218992225)
array('d', [0.9328928211929648, 0.6996879022822243, 0.00032381616639024256]) ; (0.028861625226288115, 0.014911681634655768, 0.9, 0.8965517241379309, 1.0, 1.43992800269991e-06, 0.03802332292104015, 0.00011089071000255492, 0.00047258979206049145, 0.0042541869352110415)
array('d', [0.4815553349951519, 0.35588390829554034, 0.00025666060014759696]) ; (0.027577397322902087, 0.014392832921312932, 0.9, 0.8965517241379309, 1.0, 3.062346880741996e-08, 0.02711848447430322, 0.0001108510876584954, 0.004253308128544423, 0.0038794566779347373)
array('d', [0.7581508660786722, 0.14912565539490233, 0.00022486335508161933]) ; (0.060681817767449596, 0.012776991441594, 0.12307692307692308, 0.12698412698412698, 0.2277443063923402, 2.030523472557295e-06, 0.16871406101035374, 0.0002705717194366686, 0.3300135808057944, 0.01632547285163705)
array('d', [0.8130385429645575, 0.5348064070933118, 0.0005045914311513001]) ; (0.028006855268248216, 0.014126722258742657, 0.9, 0.8965517241379309, 1.0, 1.500549971563578e-06, 0.0414495402168834, 0.00010187757651264069, 0.00047258979206049145, 0.004240641055708502)
array('d', [0.8130385429645575, 0.5348064070933118, 0.0005045914311513001]) ; (0.028006855268248216, 0.014126722258742657, 0.9, 0.8965517241379309, 1.0, 1.500549971563578e-06, 0.0414495402168834, 0.00010187757651264069, 0.00047258979206049145, 0.004240641055708502)
array('d', [0.823014088720348, 0.3818198868665991, 0.0008755429214691306]) ; (0.027603551537219623, 0.013963488098196407, 0.9, 0.8965517241379309, 1.0, 2.7561121926677964e-07, 0.047207590976629604, 0.0001195164470900652, 0.017013232514177693, 0.004135387304973726)
array('d', [0.23757296558775465, 0.031783207704883354, 0.0007908849900639207]) ; (0.06135787427509271, 0.008625269107904341, 0.16176470588235295, 0.16666666666666666, 0.2886427839304017, 5.624718760546523e-07, 0.15205904134827272, 6.928566951120005e-05, 0.43887421480120764, 0.0131996185460018)
array('d', [0.9335819825443044, 0.45393463145701707, 0.0005348595948424744]) ; (0.0281704565449254, 0.014542366017422832, 0.9, 0.8965517241379309, 1.0, 2.7561121926677964e-07, 0.046819320510717716, 0.0001241308573211786, 0.017013232514177693, 0.004146123526749057)
array('d', [0.8067059926104881, 0.17816569224297577, 0.00016302480956368175]) ; (0.054672875291340454, 0.013017186573073913, 0.0, 0.017857142857142856, 0.010774730631734208, 7.224638763546423e-07, 0.1913235401286899, 0.00038248577541663407, 0.3618592609497585, 0.014553387218992225)
