gen	evals	min                                                          	max                                                          	avg	std                                                          
0  	100  	[0.00903034 0.         0.         0.0023948 ]                	[0.01713794 0.96428571 1.93140103 1.        ]                	   	[0.00230914 0.41196852 0.46917566 0.21159016]                
1  	100  	[0.0079219  0.         0.00189036 0.0023948 ]                	[0.01713794 0.89655172 0.87460483 0.22720466]                	   	[0.00233595 0.32304021 0.2632768  0.07501441]                
2  	100  	[0.00345931 0.         0.00027031 0.00055542]                	[0.01713794 0.89655172 0.75760693 0.22577361]                	   	[0.00261788 0.37289681 0.17728032 0.06910424]                
3  	100  	[3.45931288e-03 0.00000000e+00 9.35317203e-07 5.25332590e-04]	[0.01495627 0.89655172 1.10310937 0.22577361]                	   	[0.00212203 0.17232634 0.22460399 0.07611932]                
4  	100  	[6.62553321e-03 0.00000000e+00 9.35317203e-07 1.29295935e-03]	[0.01495627 0.89655172 0.75760693 0.22577361]                	   	[0.00201057 0.10225574 0.17377011 0.07316574]                
5  	100  	[6.62553321e-03 0.00000000e+00 9.35317203e-07 1.04418939e-04]	[0.01495627 0.89655172 0.75760693 0.22577361]                	   	[0.00205489 0.1571848  0.17613484 0.07375115]                
6  	100  	[5.96235352e-03 0.00000000e+00 9.35317203e-07 3.08077313e-04]	[0.01499862 0.89655172 0.75760693 0.22577361]                	   	[0.00293241 0.19492909 0.20138475 0.08262923]                
7  	100  	[0.00596235 0.         0.00013469 0.00128428]                	[0.01499862 0.3452381  0.5121797  0.20533374]                	   	[0.0023608  0.1151107  0.16349951 0.05571325]                
8  	100  	[0.00596235 0.         0.00013469 0.00119647]                	[0.01499862 0.3373494  0.47801013 0.20533374]                	   	[0.00241293 0.08683695 0.12655102 0.05112617]                
9  	100  	[5.96235352e-03 0.00000000e+00 3.36714193e-05 1.20953086e-03]	[0.01499862 0.3373494  0.47801013 0.20533374]                	   	[0.00158276 0.05808102 0.08403638 0.03121373]                
10 	100  	[0.00595511 0.         0.00037413 0.00120953]                	[0.00959864 0.3452381  0.36185926 0.08663983]                	   	[0.00034906 0.10787187 0.05933595 0.0133854 ]                
11 	100  	[0.00569744 0.         0.00030304 0.00083317]                	[0.01047227 0.15384615 0.03201123 0.02548318]                	   	[0.00084899 0.02447462 0.0034537  0.00369884]                
12 	100  	[0.00569383 0.         0.00058457 0.00083079]                	[0.00944348 0.28571429 0.18190143 0.02287925]                	   	[0.00038359 0.02860676 0.01791776 0.00217212]                
13 	100  	[0.00568193 0.         0.00121217 0.00083079]                	[0.00661947 0.28571429 0.18190143 0.02287925]                	   	[0.00036121 0.02842821 0.01793215 0.00217298]                
14 	100  	[0.00567906 0.         0.00121217 0.00083079]                	[0.0104299  0.15384615 0.00973104 0.01005182]                	   	[0.00058601 0.0153075  0.00087355 0.00092099]                
15 	100  	[0.0056757  0.         0.00047259 0.00083079]                	[0.00973288 0.89655172 0.01181474 0.00786904]                	   	[0.00061378 0.15294027 0.0010676  0.00098658]                
16 	100  	[0.0056757  0.         0.00121217 0.00083079]                	[0.00971969 0.05172414 0.00395172 0.00644757]                	   	[0.00041511 0.00514649 0.00028866 0.00056005]                
17 	100  	[0.00566064 0.         0.00114576 0.00083281]                	[0.00648646 0.         0.00194377 0.00120954]                	   	[8.04247449e-05 0.00000000e+00 9.26704408e-05 3.71506328e-05]
18 	100  	[0.00566999 0.         0.00114576 0.00083281]                	[0.01041156 0.15384615 0.00954117 0.01006569]                	   	[0.00047077 0.0153075  0.00082837 0.00091826]                
19 	100  	[0.00566069 0.         0.         0.00083281]                	[0.01158019 0.89655172 0.0013506  0.01825974]                	   	[0.00058763 0.08920577 0.00014682 0.00173332]                
20 	100  	[0.00566047 0.         0.00114576 0.00083707]                	[0.01041544 0.23611111 0.01755497 0.01006069]                	   	[0.00052184 0.02790993 0.00180148 0.00099007]                
21 	100  	[0.00566047 0.         0.00114576 0.00083707]                	[0.01041586 0.22535211 0.03666818 0.05332583]                	   	[0.0006364  0.02702116 0.00360667 0.00529289]                
22 	100  	[5.66044128e-03 0.00000000e+00 1.14576357e-03 1.24626287e-05]	[0.0104062  0.89655172 0.03024575 0.01656718]                	   	[0.00070323 0.09413938 0.00299272 0.00180923]                
23 	100  	[0.00566042 0.         0.00114576 0.00083996]                	[0.01040225 0.15384615 0.00916704 0.01007559]                	   	[0.00047156 0.0153075  0.00079173 0.00091865]                
24 	100  	[0.00566028 0.         0.00114576 0.0008399 ]                	[0.01040232 0.15384615 0.00916704 0.01007548]                	   	[0.00047134 0.0153075  0.00079491 0.00091873]                
25 	100  	[5.66024790e-03 0.00000000e+00 1.49650753e-05 8.39957246e-04]	[0.0104074  0.16666667 0.00935317 0.01007548]                	   	[0.00100528 0.03410811 0.00157537 0.00180845]                
26 	100  	[0.00566025 0.         0.00030304 0.00019238]                	[0.01040144 0.89655172 0.01181474 0.02510018]                	   	[0.00092912 0.1351043  0.00171098 0.00392495]                
27 	100  	[0.00566034 0.         0.00114576 0.00083849]                	[0.00817547 0.12698413 0.10748759 0.08306944]                	   	[0.00033414 0.01284446 0.01403071 0.0124407 ]                
28 	100  	[0.00566025 0.         0.00108123 0.00083996]                	[0.01040216 0.16666667 0.00916704 0.01007572]                	   	[0.00064357 0.0224542  0.00079135 0.00092401]                
29 	100  	[0.00566025 0.         0.00114576 0.00083996]                	[0.01040223 0.15384615 0.00916704 0.01007562]                	   	[0.00047178 0.0153075  0.00079147 0.00091857]                
30 	100  	[0.00566024 0.         0.00114576 0.00083993]                	[0.00567513 0.         0.0013506  0.00084467]                	   	[2.63492412e-06 0.00000000e+00 5.60872934e-05 9.09613733e-07]
31 	100  	[0.00566024 0.         0.00114576 0.00083374]                	[0.00569416 0.         0.0013506  0.00084467]                	   	[7.05189082e-06 0.00000000e+00 3.80137341e-05 2.16635238e-06]
32 	100  	[0.00566025 0.         0.00121217 0.0008419 ]                	[0.01070694 0.89655172 0.00916704 0.01007643]                	   	[0.00082655 0.09146804 0.00114926 0.00129337]                
33 	100  	[0.00380352 0.         0.00121217 0.0001552 ]                	[0.01192165 0.89655172 0.52751984 0.09859932]                	   	[0.00107854 0.19699959 0.08972692 0.01670136]                
34 	100  	[0.00380352 0.         0.00121217 0.00083963]                	[0.0088768  0.89655172 0.52751984 0.09859932]                	   	[0.0004895  0.09604171 0.10311327 0.01915541]                
35 	100  	[0.00566031 0.         0.00013469 0.00083963]                	[0.01042356 0.16666667 0.00916704 0.01027244]                	   	[0.00077566 0.02249897 0.00080732 0.00094965]                
36 	100  	[0.0056604  0.         0.00121217 0.00084389]                	[0.01040199 0.15384615 0.00916704 0.01007599]                	   	[0.00047178 0.0153075  0.0007915  0.00091858]                
37 	100  	[0.0056604  0.         0.00058457 0.00065069]                	[0.01040177 0.15384615 0.00916704 0.01007632]                	   	[0.00050049 0.01539243 0.00079459 0.00091901]                
38 	100  	[0.00566023 0.         0.00058457 0.00065069]                	[0.01040731 0.17910448 0.00916704 0.01007096]                	   	[0.00064281 0.02341693 0.00079572 0.00095015]                
39 	100  	[0.00566023 0.         0.00047259 0.00084389]                	[0.00891206 0.89655172 0.0013506  0.00995472]                	   	[3.23537176e-04 8.92057702e-02 8.13553838e-05 9.06512901e-04]
40 	100  	[0.00566023 0.         0.00114576 0.000843  ]                	[0.01040212 0.15384615 0.00916704 0.01007578]                	   	[0.00047179 0.0153075  0.00079158 0.00091856]                
41 	100  	[0.00566024 0.         0.00114576 0.000843  ]                	[0.00566327 0.         0.0013506  0.00084466]                	   	[7.80211938e-07 0.00000000e+00 2.79140072e-05 2.68575875e-07]
42 	100  	[0.00566024 0.         0.00114576 0.0008419 ]                	[0.01040212 0.15384615 0.00916704 0.01007579]                	   	[0.00047175 0.0153075  0.00079254 0.00091857]                
43 	100  	[0.00566023 0.         0.00114576 0.00084244]                	[0.0056652  0.         0.0013506  0.00084478]                	   	[1.29867548e-06 0.00000000e+00 5.31203350e-05 4.76833604e-07]
44 	100  	[0.00566024 0.         0.00114576 0.00084244]                	[0.01040739 0.3452381  0.07124872 0.01007712]                	   	[0.00081129 0.04285865 0.00707922 0.0015763 ]                
45 	100  	[0.00566024 0.         0.00053874 0.00084286]                	[0.01040212 0.28571429 0.00916704 0.01217523]                	   	[0.0007072  0.03541873 0.00111852 0.00170297]                
